Address,Area,Price,Lat,Lon
#5 - 1212 Kirstie Crt Oakville,Castle Green,495000,43.465286,-79.698013
537 Weir Ave Oakville,West Oakville,849000,43.428967,-79.700455
#310 - 205 Lakeshore Rd Oakville,Oakville,649000,43.436699,-79.678169
1293 Devon Rd Oakville,Oakville,2738000,43.468716,-79.659775
16 Ennisclare Dr Oakville,Oakville,6999999,43.461479,-79.646126
#Ph2202 - 1359 White Oaks Blvd Oakville,Oakville,629000,43.471965999999995,-79.69345899999999
#522 - 2480 Prince Michael Dr Oakville,Oakville,299900,43.497147,-79.707939
#403 - 205 Lakeshore Rd Oakville,Oakville,610000,43.436699,-79.678169
202 - 2301 PARKHAVEN Boulevard Oakville,Uptown Core,329900,43.476738,-79.71817
1225 Lambeth Road Oakville,Oakville,929900,43.471542,-79.686661
#210 - 1490 BISHOPS GATE Oakville,Glen Abbey,399900,43.439903,-79.739502
208 RIVER OAKS BLVD E Oakville,Oakville,1080000,43.474734999999995,-79.710358
2306 WHISTLING SPRINGS CRES Oakville,West Oak Trails,799900,43.447029,-79.763397
185 Robinson Street Oakville,Oakville,475000,43.445029999999996,-79.667793
205 Lakeshore Road Oakville,Oakville,610000,43.436699,-79.678169
146 Wedgewood Drive Oakville,Oakville,1849000,43.466675,-79.649033
1359 White Oaks Boulevard Oakville,Oakville,629000,43.471965999999995,-79.69345899999999
109 BURLOAK Drive Oakville,Bronte,1029000,43.37368,-79.72670699999999
2428 EIGHTH LINE Oakville,Oakville,1199000,43.491077000000004,-79.710068
400 CARRIER Lane Oakville,Oakville,889000,43.462559000000006,-79.731163
#61 - 2350 GRAND RAVINE DR Oakville,Oakville,489900,43.475868,-79.72134399999999
1207 Wood Place Oakville,West Oakville,910000,43.422874,-79.701424
1 2480 Post Road Oakville,Uptown Core,394900,43.479420000000005,-79.727173
385 Sandlewood Road Oakville,West Oakville,2348000,43.409557,-79.712807
2141 Galena Crescent Oakville,Oakville,948000,43.486557,-79.696915
3404 Kinglet Court Oakville,Bronte,1498000,43.378624,-79.726967
2147 NIGHTSTAR DR Oakville,Westmount,739000,43.43993,-79.749199
2486 OLD BRONTE Road Oakville,West Oak Trails,0,43.434551,-79.774925
316 Wendy Lane Oakville,West Oakville,2300,43.419968,-79.69716600000001
280 Sarah Cline Drive Oakville,Oakville,1950,43.474831,-79.738518
179 Gatwick Drive Oakville,Uptown Core,2350,43.478359000000005,-79.71642299999999
153 Dornie Road Oakville,Oakville,1699000,43.464684000000005,-79.651291
#525 - 380 MACPHERSON AVE Toronto,Midtown Toronto,699000,43.676369,-79.405739
#2704 - 103 THE QUEENSWAY WAY Toronto,Swansea,789900,43.636292,-79.470467
#725 - 10 CAPREOL CRT Toronto,Downtown,379000,43.640223999999996,-79.39595
#2103 - 151 DAN LECKIE WAY Toronto,Downtown,568000,43.639782000000004,-79.397949
1453 GERRARD ST E Toronto,Leslieville,29900,43.672264,-79.32128900000001
#1407 - 914 YONGE ST Toronto,Midtown Toronto,415000,43.674103,-79.388809
77 MCGILL ST Toronto,Downtown,1299000,43.6604,-79.379234
#307 - 20 BLUE JAYS WAY Toronto,Downtown,650000,43.643845,-79.391823
#902 - 150 EAST LIBERTY ST Toronto,Liberty Village,388000,43.638775,-79.41626
#511 - 44 GERRARD ST W Toronto,Downtown,375000,43.658798,-79.384392
